quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
pa_038,2026-02-14T06:37:00Z,,Ihr nehmt ___ Termin für die Aufgabe heute.,eure,euer,euren,eurer,2,euren,„Termin“ ist maskulin und steht hier im Akkusativ; deshalb ist „euren“ korrekt.,a2_euer_termin_akk_38,A2,Organisation,,ready,,
pa_039,2026-02-14T06:38:00Z,,Er braucht ___ Kollegin für die nächste Besprechung.,seinen,seinem,seine,seiner,2,seine,„Kollegin“ ist feminin und steht hier im Akkusativ; deshalb ist „seine“ korrekt.,a2_sein_kollegin_akk_39,A2,Arbeit,,ready,,
pa_040,2026-02-14T06:39:00Z,,Ihr sucht ___ Auto für die Aufgabe heute.,euren,eure,eurer,euer,3,euer,„Auto“ ist neutrum und steht hier im Akkusativ; deshalb ist „euer“ korrekt.,a2_euer_auto_akk_40,A2,Reisen,,ready,,
pa_041,2026-02-14T06:40:00Z,,Er nutzt ___ Schlüssel für die nächste Besprechung.,seine,seiner,seinem,seinen,3,seinen,„Schlüssel“ ist maskulin und steht hier im Akkusativ; deshalb ist „seinen“ korrekt.,a2_sein_schluessel_akk_41,A2,Alltag,,ready,,
pa_042,2026-02-14T06:41:00Z,,Ihr nehmt ___ Rechnung für die Aufgabe heute.,euer,eure,euren,eurer,1,eure,„Rechnung“ ist feminin und steht hier im Akkusativ; deshalb ist „eure“ korrekt.,a2_euer_rechnung_akk_42,A2,Finanzen,,ready,,
pa_043,2026-02-14T06:42:00Z,,Er braucht ___ Ticket für die nächste Besprechung.,seinem,sein,seiner,seinen,1,sein,„Ticket“ ist neutrum und steht hier im Akkusativ; deshalb ist „sein“ korrekt.,a2_sein_ticket_akk_43,A2,Reisen,,ready,,
pa_044,2026-02-14T06:43:00Z,,Ihr sucht ___ Laptop für die Aufgabe heute.,eurer,eure,euer,euren,3,euren,„Laptop“ ist maskulin und steht hier im Akkusativ; deshalb ist „euren“ korrekt.,a2_euer_laptop_akk_44,A2,Technik,,ready,,
pa_045,2026-02-14T06:44:00Z,,Er nutzt ___ E-Mail für die nächste Besprechung.,seinen,seinem,seine,seiner,2,seine,„E-Mail“ ist feminin und steht hier im Akkusativ; deshalb ist „seine“ korrekt.,a2_sein_e_mail_akk_45,A2,Kommunikation,,ready,,
pa_046,2026-02-14T06:45:00Z,,Ihr nehmt ___ Passwort für die Aufgabe heute.,euer,eure,eurer,euren,0,euer,„Passwort“ ist neutrum und steht hier im Akkusativ; deshalb ist „euer“ korrekt.,a2_euer_passwort_akk_46,A2,Technik,,ready,,
pa_047,2026-02-14T06:46:00Z,,Er braucht ___ Kalender für die nächste Besprechung.,seiner,seinen,seine,seinem,1,seinen,„Kalender“ ist maskulin und steht hier im Akkusativ; deshalb ist „seinen“ korrekt.,a2_sein_kalender_akk_47,A2,Organisation,,ready,,
pa_048,2026-02-14T06:47:00Z,,Ihr sucht ___ App für die Aufgabe heute.,eure,euer,euren,eurer,0,eure,„App“ ist feminin und steht hier im Akkusativ; deshalb ist „eure“ korrekt.,a2_euer_app_akk_48,A2,Technik,,ready,,
pa_049,2026-02-14T06:48:00Z,,Er nutzt ___ Projekt für die nächste Besprechung.,seinen,seiner,sein,seinem,2,sein,„Projekt“ ist neutrum und steht hier im Akkusativ; deshalb ist „sein“ korrekt.,a2_sein_projekt_akk_49,A2,Arbeit,,ready,,
pa_050,2026-02-14T06:49:00Z,,Ihr nehmt ___ Rucksack für die Aufgabe heute.,euren,eure,euer,eurer,0,euren,„Rucksack“ ist maskulin und steht hier im Akkusativ; deshalb ist „euren“ korrekt.,a2_euer_rucksack_akk_50,A2,Reisen,,ready,,
pa_051,2026-02-14T06:50:00Z,,Er braucht ___ Wohnung für die nächste Besprechung.,seinem,seiner,seinen,seine,3,seine,„Wohnung“ ist feminin und steht hier im Akkusativ; deshalb ist „seine“ korrekt.,a2_sein_wohnung_akk_51,A2,Wohnen,,ready,,
pa_052,2026-02-14T06:51:00Z,,Ihr sucht ___ Formular für die Aufgabe heute.,eure,eurer,euer,euren,2,euer,„Formular“ ist neutrum und steht hier im Akkusativ; deshalb ist „euer“ korrekt.,a2_euer_formular_akk_52,A2,Büro,,ready,,
pa_053,2026-02-14T06:52:00Z,,Er nutzt ___ Ausweis für die nächste Besprechung.,seinem,seiner,seine,seinen,3,seinen,„Ausweis“ ist maskulin und steht hier im Akkusativ; deshalb ist „seinen“ korrekt.,a2_sein_ausweis_akk_53,A2,Reisen,,ready,,
pa_054,2026-02-14T06:53:00Z,,Ihr nehmt ___ Aufgabe für die Aufgabe heute.,euer,euren,eurer,eure,3,eure,„Aufgabe“ ist feminin und steht hier im Akkusativ; deshalb ist „eure“ korrekt.,a2_euer_aufgabe_akk_54,A2,Lernen,,ready,,
pa_055,2026-02-14T06:54:00Z,,Er braucht ___ Problem für die nächste Besprechung.,seiner,sein,seinen,seinem,1,sein,„Problem“ ist neutrum und steht hier im Akkusativ; deshalb ist „sein“ korrekt.,a2_sein_problem_akk_55,A2,Alltag,,ready,,
pa_056,2026-02-14T06:55:00Z,,Ihr sucht ___ Vertrag für die Aufgabe heute.,eure,euren,eurer,euer,1,euren,„Vertrag“ ist maskulin und steht hier im Akkusativ; deshalb ist „euren“ korrekt.,a2_euer_vertrag_akk_56,A2,Arbeit,,ready,,
pa_057,2026-02-14T06:56:00Z,,Er nutzt ___ Präsentation für die nächste Besprechung.,seinen,seinem,seine,seiner,2,seine,„Präsentation“ ist feminin und steht hier im Akkusativ; deshalb ist „seine“ korrekt.,a2_sein_praesentation_akk_57,A2,Arbeit,,ready,,
pa_058,2026-02-14T06:57:00Z,,Ihr nehmt ___ Foto für die Aufgabe heute.,eure,euer,eurer,euren,1,euer,„Foto“ ist neutrum und steht hier im Akkusativ; deshalb ist „euer“ korrekt.,a2_euer_foto_akk_58,A2,Freizeit,,ready,,
pa_059,2026-02-14T06:58:00Z,,Er braucht ___ Bericht für die nächste Besprechung.,seine,seiner,seinen,seinem,2,seinen,„Bericht“ ist maskulin und steht hier im Akkusativ; deshalb ist „seinen“ korrekt.,a2_sein_bericht_akk_59,A2,Arbeit,,ready,,
pa_060,2026-02-14T06:59:00Z,,Ihr sucht ___ Idee für die Aufgabe heute.,euer,eure,euren,eurer,1,eure,„Idee“ ist feminin und steht hier im Akkusativ; deshalb ist „eure“ korrekt.,a2_euer_idee_akk_60,A2,Kreativität,,ready,,
pa_061,2026-02-14T07:00:00Z,,Er nutzt ___ Team für die nächste Besprechung.,sein,seinem,seiner,seinen,0,sein,„Team“ ist neutrum und steht hier im Akkusativ; deshalb ist „sein“ korrekt.,a2_sein_team_akk_61,A2,Arbeit,,ready,,
pa_062,2026-02-14T07:01:00Z,,Ihr nehmt ___ Kurs für die Aufgabe heute.,eurer,eure,euren,euer,2,euren,„Kurs“ ist maskulin und steht hier im Akkusativ; deshalb ist „euren“ korrekt.,a2_euer_kurs_akk_62,A2,Lernen,,ready,,
pa_063,2026-02-14T07:02:00Z,,Er braucht ___ Sprache für die nächste Besprechung.,seine,seiner,seinem,seinen,0,seine,„Sprache“ ist feminin und steht hier im Akkusativ; deshalb ist „seine“ korrekt.,a2_sein_sprache_akk_63,A2,Lernen,,ready,,
pa_064,2026-02-14T07:03:00Z,,Ihr sucht ___ Dokument für die Aufgabe heute.,euren,eurer,euer,eure,2,euer,„Dokument“ ist neutrum und steht hier im Akkusativ; deshalb ist „euer“ korrekt.,a2_euer_dokument_akk_64,A2,Büro,,ready,,
pa_065,2026-02-14T07:04:00Z,,Er nutzt ___ Plan für die nächste Besprechung.,seinem,seinen,seiner,seine,1,seinen,„Plan“ ist maskulin und steht hier im Akkusativ; deshalb ist „seinen“ korrekt.,a2_sein_plan_akk_65,A2,Organisation,,ready,,
pa_066,2026-02-14T07:05:00Z,,Ihr nehmt ___ Nachricht für die Aufgabe heute.,euer,euren,eure,eurer,2,eure,„Nachricht“ ist feminin und steht hier im Akkusativ; deshalb ist „eure“ korrekt.,a2_euer_nachricht_akk_66,A2,Kommunikation,,ready,,
pa_067,2026-02-14T07:06:00Z,,Er braucht ___ Programm für die nächste Besprechung.,seiner,seinem,sein,seinen,2,sein,„Programm“ ist neutrum und steht hier im Akkusativ; deshalb ist „sein“ korrekt.,a2_sein_programm_akk_67,A2,Technik,,ready,,
pa_068,2026-02-14T07:07:00Z,,Ihr sucht ___ Drucker für die Aufgabe heute.,eurer,euer,euren,eure,2,euren,„Drucker“ ist maskulin und steht hier im Akkusativ; deshalb ist „euren“ korrekt.,a2_euer_drucker_akk_68,A2,Technik,,ready,,
pa_069,2026-02-14T07:08:00Z,,Er nutzt ___ Kamera für die nächste Besprechung.,seiner,seinem,seine,seinen,2,seine,„Kamera“ ist feminin und steht hier im Akkusativ; deshalb ist „seine“ korrekt.,a2_sein_kamera_akk_69,A2,Freizeit,,ready,,
pa_070,2026-02-14T07:09:00Z,,Ihr nehmt ___ Angebot für die Aufgabe heute.,euren,euer,eure,eurer,1,euer,„Angebot“ ist neutrum und steht hier im Akkusativ; deshalb ist „euer“ korrekt.,a2_euer_angebot_akk_70,A2,Finanzen,,ready,,
pa_071,2026-02-14T07:10:00Z,,Wir arbeiten mit ___ Handy bei der Planung für morgen.,unser,unserer,unseren,unserem,3,unserem,„Handy“ ist neutrum und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_handy_dat_71,A2,Technik,,ready,,
pa_072,2026-02-14T07:11:00Z,,Du sprichst heute mit ___ Termin über die nächsten Schritte.,deine,dein,deinem,deinen,2,deinem,„Termin“ ist maskulin und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_termin_dat_72,A2,Organisation,,ready,,
pa_073,2026-02-14T07:12:00Z,,Wir arbeiten mit ___ Tasche bei der Vorbereitung für den Termin.,unserem,unser,unseren,unserer,3,unserer,„Tasche“ ist feminin und steht hier im Dativ; deshalb ist „unserer“ korrekt.,a2_unser_tasche_dat_73,A2,Alltag,,ready,,
pa_074,2026-02-14T07:13:00Z,,Du sprichst heute mit ___ Auto über die nächsten Schritte.,dein,deine,deinen,deinem,3,deinem,„Auto“ ist neutrum und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_auto_dat_74,A2,Reisen,,ready,,
pa_075,2026-02-14T07:14:00Z,,Wir arbeiten mit ___ Schlüssel im Büro am Nachmittag.,unserer,unseren,unser,unserem,3,unserem,„Schlüssel“ ist maskulin und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_schluessel_dat_75,A2,Alltag,,ready,,
pa_076,2026-02-14T07:15:00Z,,Du sprichst heute mit ___ Kollegin über die nächsten Schritte.,deine,deiner,dein,deinen,1,deiner,„Kollegin“ ist feminin und steht hier im Dativ; deshalb ist „deiner“ korrekt.,a2_dein_kollegin_dat_76,A2,Arbeit,,ready,,
pa_077,2026-02-14T07:16:00Z,,Wir arbeiten mit ___ Ticket im Team ohne Pause.,unserer,unser,unseren,unserem,3,unserem,„Ticket“ ist neutrum und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_ticket_dat_77,A2,Reisen,,ready,,
pa_078,2026-02-14T07:17:00Z,,Du sprichst heute mit ___ Laptop über die nächsten Schritte.,deinen,deine,dein,deinem,3,deinem,„Laptop“ ist maskulin und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_laptop_dat_78,A2,Technik,,ready,,
pa_079,2026-02-14T07:18:00Z,,Wir arbeiten mit ___ Rechnung bei der Arbeit im Homeoffice.,unser,unserer,unserem,unseren,1,unserer,„Rechnung“ ist feminin und steht hier im Dativ; deshalb ist „unserer“ korrekt.,a2_unser_rechnung_dat_79,A2,Finanzen,,ready,,
pa_080,2026-02-14T07:19:00Z,,Du sprichst heute mit ___ Passwort über die nächsten Schritte.,deinen,deine,dein,deinem,3,deinem,„Passwort“ ist neutrum und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_passwort_dat_80,A2,Technik,,ready,,
pa_081,2026-02-14T07:20:00Z,,Wir arbeiten mit ___ Kalender bei der Planung für morgen.,unserem,unserer,unseren,unser,0,unserem,„Kalender“ ist maskulin und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_kalender_dat_81,A2,Organisation,,ready,,
pa_082,2026-02-14T07:21:00Z,,Du sprichst heute mit ___ E-Mail über die nächsten Schritte.,deinen,dein,deine,deiner,3,deiner,„E-Mail“ ist feminin und steht hier im Dativ; deshalb ist „deiner“ korrekt.,a2_dein_e_mail_dat_82,A2,Kommunikation,,ready,,
pa_083,2026-02-14T07:22:00Z,,Wir arbeiten mit ___ Projekt bei der Vorbereitung für den Termin.,unserer,unser,unseren,unserem,3,unserem,„Projekt“ ist neutrum und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_projekt_dat_83,A2,Arbeit,,ready,,
pa_084,2026-02-14T07:23:00Z,,Du sprichst heute mit ___ Rucksack über die nächsten Schritte.,dein,deinen,deinem,deine,2,deinem,„Rucksack“ ist maskulin und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_rucksack_dat_84,A2,Reisen,,ready,,
pa_085,2026-02-14T07:24:00Z,,Wir arbeiten mit ___ App im Büro am Nachmittag.,unserer,unseren,unser,unserem,0,unserer,„App“ ist feminin und steht hier im Dativ; deshalb ist „unserer“ korrekt.,a2_unser_app_dat_85,A2,Technik,,ready,,
pa_086,2026-02-14T07:25:00Z,,Du sprichst heute mit ___ Formular über die nächsten Schritte.,deine,deinem,dein,deinen,1,deinem,„Formular“ ist neutrum und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_formular_dat_86,A2,Büro,,ready,,
pa_087,2026-02-14T07:26:00Z,,Wir arbeiten mit ___ Ausweis im Team ohne Pause.,unseren,unserem,unserer,unser,1,unserem,„Ausweis“ ist maskulin und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_ausweis_dat_87,A2,Reisen,,ready,,
pa_088,2026-02-14T07:27:00Z,,Du sprichst heute mit ___ Wohnung über die nächsten Schritte.,dein,deinen,deiner,deine,2,deiner,„Wohnung“ ist feminin und steht hier im Dativ; deshalb ist „deiner“ korrekt.,a2_dein_wohnung_dat_88,A2,Wohnen,,ready,,
pa_089,2026-02-14T07:28:00Z,,Wir arbeiten mit ___ Problem bei der Arbeit im Homeoffice.,unser,unserem,unserer,unseren,1,unserem,„Problem“ ist neutrum und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_problem_dat_89,A2,Alltag,,ready,,
pa_090,2026-02-14T07:29:00Z,,Du sprichst heute mit ___ Vertrag über die nächsten Schritte.,deinen,dein,deinem,deine,2,deinem,„Vertrag“ ist maskulin und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_vertrag_dat_90,A2,Arbeit,,ready,,
pa_091,2026-02-14T07:30:00Z,,Wir arbeiten mit ___ Aufgabe bei der Planung für morgen.,unserer,unseren,unserem,unser,0,unserer,„Aufgabe“ ist feminin und steht hier im Dativ; deshalb ist „unserer“ korrekt.,a2_unser_aufgabe_dat_91,A2,Lernen,,ready,,
pa_092,2026-02-14T07:31:00Z,,Du sprichst heute mit ___ Foto über die nächsten Schritte.,deinen,deine,dein,deinem,3,deinem,„Foto“ ist neutrum und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_foto_dat_92,A2,Freizeit,,ready,,
pa_093,2026-02-14T07:32:00Z,,Wir arbeiten mit ___ Bericht bei der Vorbereitung für den Termin.,unserer,unserem,unser,unseren,1,unserem,„Bericht“ ist maskulin und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_bericht_dat_93,A2,Arbeit,,ready,,
pa_094,2026-02-14T07:33:00Z,,Du sprichst heute mit ___ Präsentation über die nächsten Schritte.,deiner,dein,deine,deinen,0,deiner,„Präsentation“ ist feminin und steht hier im Dativ; deshalb ist „deiner“ korrekt.,a2_dein_praesentation_dat_94,A2,Arbeit,,ready,,
pa_095,2026-02-14T07:34:00Z,,Wir arbeiten mit ___ Team im Büro am Nachmittag.,unserer,unser,unserem,unseren,2,unserem,„Team“ ist neutrum und steht hier im Dativ; deshalb ist „unserem“ korrekt.,a2_unser_team_dat_95,A2,Arbeit,,ready,,
pa_096,2026-02-14T07:35:00Z,,Du sprichst heute mit ___ Kurs über die nächsten Schritte.,deine,dein,deinen,deinem,3,deinem,„Kurs“ ist maskulin und steht hier im Dativ; deshalb ist „deinem“ korrekt.,a2_dein_kurs_dat_96,A2,Lernen,,ready,,
pa_097,2026-02-14T07:36:00Z,,Wir arbeiten mit ___ Idee im Team ohne Pause.,unseren,unser,unserer,unserem,2,unserer,„Idee“ ist feminin und steht hier im Dativ; deshalb ist „unserer“ korrekt.,a2_unser_idee_dat_97,A2,Kreativität,,ready,,
